cluster,symbol,type,timestamp,maxTimeDev,channelCount,time,totalVolume,peakGainInsiders,peakGainPublic,secondsToPeak,maxProfit,initialPrice,initialDayVol,mediumTermPriceIncrease
8,GRS,pump,1530817220,0,1,2018-07-05T19:00:20Z,225758.528721152,1.08147065464795,1.07199666799185,600.811000108719,13562.651393631,0.63719256,426240.460239139,1.06432929503893
39,WABI,pump,1530892831,41,2,2018-07-06T16:00:31Z,868276.276103326,1.28559430185561,1.05233382977725,-4.71300005912781,159843.933770374,0.40296206,158168.306328522,1.14770230839362
64,LRC,pump,1531321207,26,3,2018-07-11T15:00:07Z,142122.61289964,1.130098318562,1.003508002631,-3.67599987983704,6034.90862227268,0.270391058,199165.427804273,1.02819989720913
9,MOD,pump,1531335659,11,2,2018-07-11T19:00:59Z,210497.849379579,1.17356143960803,1.17959579335808,593.842000007629,24259.5406740195,0.943972396,368043.525190559,1.11898622433792
10,TNT,pump,1531338496,26,2,2018-07-11T19:48:16Z,284913.085221082,1.14879457024707,1.13544774662755,74.114000082016,24593.9727835038,0.0406840464,100010.810579825,1.06806479592278
11,CDT,pump,1531340566,32,2,2018-07-11T20:22:46Z,181888.339405259,1.16060488792128,1.04969932395383,22.9960000514984,19512.0346942979,0.0224643798,242577.480835552,1.08217551491609
55,DNT,pump,1531400460,0,1,2018-07-12T13:01:00Z,273054.259846089,1.17886525032032,1.05388778133795,57.9989998340607,28401.8564971969,0.032727447,221852.89824547,1.09808219664826
12,OAX,pump,1531411217,10,2,2018-07-12T16:00:17Z,215374.619611342,1.09461086879583,1.08308955672414,6.28699994087219,9640.39736945498,0.3179979212,73847.9737112042,0.993497246881598
40,VIBE,pump,1531587613,34,3,2018-07-14T17:00:13Z,688606.42778803,1.21262299812165,1.07143027974202,5.00699996948242,81675.3132507628,0.070599757,145881.913189583,1.09378523661479
13,GRS,pump,1531591238,28,2,2018-07-14T18:00:38Z,191950.935432296,1.12575920452136,1.05752261811683,-37.0250000953674,9943.03284243956,0.5565994908,101779.116734685,1.02607463652405
25,ICN,pump,1531756805,0,1,2018-07-16T16:00:05Z,310094.769017436,1.14242724152387,0.99213434680095,0,24619.165818604,0.615362462,115552.447521799,1.06317971813524
14,WINGS,pump,1531760444,35,2,2018-07-16T17:00:44Z,344730.666817471,1.10982415762206,1.10647626171377,268.5,25832.2427843323,0.2207993116,738655.520941251,1.07686515903597
1,AMB,pump,1531839600,0,1,2018-07-17T15:00:00Z,301505.478154159,1.09410049048704,1.09088888888889,4.32800006866455,14888.2212772379,0.3014145288,226079.718218025,1.0278265131174
15,REQ,pump,1531859443,0,1,2018-07-17T20:30:43Z,84662.6017890073,1.02531002166839,1.03093189444919,19.0499999523163,474.603521797609,0.078343153,264874.312715382,0.996422078460882
16,PIVX,pump,1532015975,14,2,2018-07-19T15:59:35Z,176759.92771175,1.0285426539794,1.02274211270736,9,1202.66462000427,2.1502601,262281.874341502,0.990440202296068
26,MTH,pump,1532102402,0,1,2018-07-20T16:00:02Z,352301.683624775,1.29719919133449,1.1713304853755,57.3609998226166,54956.7712052355,0.0394591824,279486.410966662,1.12577542338118
17,VIA,pump,1532200488,0,1,2018-07-21T19:14:48Z,33228.406728552,1.01269666714245,1.00161473907938,-73.7850000858307,156.654993837318,1.26108,122797.807104,1.00177068895394
27,EVX,pump,1532361602,0,1,2018-07-23T16:00:02Z,436854.38382822,1.24822401157392,1.12794892181875,82.1059999465942,68752.3842474988,0.6977424553,306309.20586989,1.13259409719912
28,EVX,pump,1532620801,0,1,2018-07-26T16:00:01Z,473867.721702238,1.18976811719072,1.04789440239254,33.3150000572205,61966.302047994,0.6827489476,147279.435359736,1.10482536938402
41,MOD,pump,1532622533,0,1,2018-07-26T16:28:53Z,434358.876056402,1.13263637822751,1.05068766464261,49.7929999828339,28648.5038835212,1.141233431,203811.776097762,1.04951705003521
42,CHAT,pump,1532705304,0,1,2018-07-27T15:28:24Z,404492.575635978,1.15556410878625,1.02847572150222,-17.0039999485016,27569.6312464223,0.0370487688,303474.742471982,1.02608692821288
18,CLOAK,pump,1532707191,0,1,2018-07-27T15:59:51Z,48832.21903672,1.02657459938322,1.01357091085184,9.01300001144409,549.952561371468,3.516503886,171510.037749072,1.00814669847362
43,TRIG,pump,1532725149,0,1,2018-07-27T20:59:09Z,373858.984770243,1.08645783445337,1.06302393286141,597.045000076294,15491.4694009135,0.369788767,472339.839463525,1.04579822927306
56,YOYO,pump,1532793624,0,1,2018-07-28T16:00:24Z,46860.4686173378,1.05274919817603,1.03202883583013,573.707000017166,2103.97167704249,0.053433798,200952.438644454,1.039638916486
66,CDT,pump,1532793631,0,1,2018-07-28T16:00:31Z,37537.270307839,1.06391246789491,1.06421255187977,377.404000043869,1635.93524451913,0.0236490508,129397.96834148,1.03895396815713
3,QLC,pump,1532804409,0,1,2018-07-28T19:00:09Z,733773.799949264,1.39537183046338,1.26482616921207,14.0670001506805,168232.220207695,0.04716975,132774.66462825,1.15312826630762
57,RLC,pump,1532964602,0,1,2018-07-30T15:30:02Z,26785.2399221862,1.03230146532092,1.0235834264957,191.275000095367,798.275426894955,0.663201616,478381.556265402,1.02180636012745
29,OAX,pump,1533052803,0,1,2018-07-31T16:00:03Z,169634.268621651,1.15475886374933,1.01132752947019,6.01100015640259,12837.8718265983,0.2748802464,121831.905064014,1.03506232493933
58,STORJ,pump,1533132577,0,1,2018-08-01T14:09:37Z,8794.41277520781,1.01898079541985,1.01993628083971,85.1349999904633,151.635308144358,0.417088785,54230.7699584392,1.01410210341995
44,CVC,pump,1533232074,0,1,2018-08-02T17:47:54Z,52632.559252521,1.00697409847271,1.00779754741071,-278.740000009537,459.254274196473,0.193833512,11545408.223761,1.00026154538775
65,SNGLS,pump,1533308401,15,4,2018-08-03T15:00:01Z,51127.3158288805,1.07872244699226,1.06817974198076,3.00400018692017,1676.65114175599,0.0303378222,66463.1596560348,1.01987442389628
59,EVX,pump,1533308404,0,1,2018-08-03T15:00:04Z,6105.3449557577,1.02810352702295,1.01859619094639,536.796999931335,103.854788462764,0.5521824,48741.493032,1.01266585916796
30,ICN,pump,1533744001,16,2,2018-08-08T16:00:01Z,148857.261800142,1.08897503589217,1.08176587740651,8.00300002098084,6030.22281400962,0.5812267956,550941.477377191,1.01918339279341
45,EVX,pump,1533832228,0,1,2018-08-09T16:30:28Z,601465.477627936,1.22419308597786,1.11770287846688,58.1099998950958,91854.065362632,0.5548579777,183332.145145699,1.16679794497768
60,ICN,pump,1533902402,0,1,2018-08-10T12:00:02Z,23693.7989616834,1.03014728243396,1.03409309627493,363.480000019074,452.49141896611,0.5785521444,173208.098221762,1.00865776954786
61,GRS,pump,1533988802,0,1,2018-08-11T12:00:02Z,8890.21050284401,1.03949574811082,1.03957408931005,36.0599999427795,162.882990839069,0.4468826252,70287.0268154736,1.00568695669404
46,RDN,pump,1534004936,0,1,2018-08-11T16:28:56Z,566811.035722671,1.25745807433376,1.05237526301116,68.1480000019074,87274.4955584717,0.4143257712,414387.622610359,1.06528736215927
47,RDN,pump,1534099961,0,1,2018-08-12T18:52:41Z,3952.20667635609,1.02962222084983,1.00511785948775,-388.869999885559,148.667787023929,0.3907634022,168789.526289737,1.00840452465057
19,DLT,pump,1534334422,20,2,2018-08-15T12:00:22Z,118290.192790853,1.22022314113068,1.2271395534113,47.0649998188019,16186.2807817555,0.04061824,48685.07863141,1.09845480264728
62,VIB,pump,1534420802,0,1,2018-08-16T12:00:02Z,14009.3727643084,1.03824997841044,1.00759711677103,144.329999923706,730.088050274643,0.0337836975,638227.911145793,1.03061698719096
48,AST,pump,1534436977,0,1,2018-08-16T16:29:37Z,578648.639636666,1.19131812135992,1.03991741225052,27.045000076294,43519.2468585255,0.081173952,261488.800450488,0.992304519042803
20,TNB,pump,1534518012,20,2,2018-08-17T15:00:12Z,319202.801513991,1.20144108118874,1.20904354595888,138.430000066757,29538.3279392857,0.012491732,128758.693412888,1.10016798552591
31,OAX,pump,1534521601,0,1,2018-08-17T16:00:01Z,198971.727114252,1.23364716292604,1.15272281035106,306.296999931335,21621.1613395866,0.1644243496,66561.7778321083,1.11124405123914
67,WABI,pump,1534773613,0,1,2018-08-20T14:00:13Z,326795.399344479,1.52130609300831,1.19961543763597,37.0480000972748,100216.770293387,0.1433984799,108436.523857149,1.28020782827095
32,RDN,pump,1534867244,30,3,2018-08-21T16:00:44Z,205454.042824265,1.19988320986859,1.12430729452716,71.0910000801087,27269.1721844832,0.3155838559,132014.999978116,1.07158037004814
49,KNC,pump,1534870780,0,1,2018-08-21T16:59:40Z,1708532.18085921,1.74422278218876,1.29220665259238,50.0529999732971,726819.135782599,0.4436660316,206575.90407065,1.3987130616942
2,OST,pump,1534946392,0,1,2018-08-22T13:59:52Z,156401.336755909,1.09112724911174,1.08280311571583,7.00399994850159,4055.45272349518,0.0287136079,240516.042174903,1.00874788700686
33,DLT,pump,1535040000,0,1,2018-08-23T16:00:00Z,194634.936503866,1.13090556271873,1.11494608878141,34.0490000247955,15517.9431513423,0.042886781,76472.3901836184,1.05685378298982
63,GRS,pump,1535112001,0,1,2018-08-24T12:00:01Z,36624.6888027895,1.04010830998252,1.04149734011636,12.0160000324249,891.394570231394,0.603519994,131132.331530754,1.01269309243234
50,EVX,pump,1535130022,0,1,2018-08-24T17:00:22Z,1277864.00991404,1.7226180367124,1.1460214041169,14.0210001468658,617737.931168077,0.4360530525,41312.0844781489,1.37469624196664
51,EVX,pump,1535378413,22,2,2018-08-27T14:00:13Z,419885.719405205,1.24805453075989,1.07345399102735,16.0380001068115,53737.5818386426,0.43057093,128611.54421579,1.04548809312736
52,CLOAK,pump,1535475719,0,1,2018-08-28T17:01:59Z,1252826.86689888,1.35021851323759,1.01147414542683,-145.200999975204,139084.631115509,2.63322262,324990.677300744,1.05705251523847
